joint,axis,n_eval,positive_rate,auc_tactile,auc_shuffled_tactile,auc_pose_emb,auc_pose_emb_plus_tactile,auc_pose_emb_plus_shuffled,marginal_vs_pose,marginal_vs_pose_ci_low,marginal_vs_pose_ci_high,marginal_vs_shuffled,marginal_vs_shuffled_ci_low,marginal_vs_shuffled_ci_high
thumb_tip,curl,6626,0.43510413522487174,0.7221524577407484,0.4837920135623264,0.7104912404878515,0.7327870853202774,0.7018554880892708,0.02229584483242586,0.007322222725498393,0.03634875724204502,0.03093159723100658,0.014529567754926141,0.04795637870426827
index_mcp,radial,6626,0.3418351946875943,0.5670307709362485,0.5173605300442969,0.5744380883538772,0.5843236230424903,0.5741768930207696,0.009885534688613085,-0.005490176728115495,0.026306294002360914,0.010146730021720729,-0.008232575495306876,0.027642339777628235
index_mcp,spread,6626,0.5319951705402958,0.5629968827260023,0.50628344551403,0.5774264536033904,0.5911391658147337,0.5691064653131797,0.013712712211343292,-0.003573907852323005,0.030281838755171608,0.022032700501554037,-0.0006859129233854715,0.0439230667633717
index_mcp,curl,6626,0.42408693027467553,0.7343381864708998,0.46541523982184024,0.7160929444854778,0.7367973954952737,0.7095221841730268,0.0207044510097959,0.005238075268872278,0.03669531706794081,0.02727521132224686,0.010081911679916964,0.044458188782330675
index_pip,radial,6626,0.4332930878357984,0.7247288069639876,0.492817239848784,0.7132007897515956,0.7299788833743561,0.7129720456319474,0.016778093622760504,0.002465541037258626,0.031064419614855975,0.017006837742408742,0.0018776690472677381,0.033337805019937425
index_pip,spread,6626,0.49094476305463325,0.6487155143980302,0.4928293971885196,0.6604261121732236,0.662863507415764,0.6529032153402787,0.0024373952425404966,-0.01526680172914915,0.017976303392094457,0.009960292075485322,-0.009148712728804043,0.029428037156203162
index_pip,curl,6626,0.5024147298520978,0.6118261291999891,0.48370570549721914,0.6250606224853,0.6343480373439065,0.6144666865833681,0.009287414858606513,-0.006862310328691534,0.024791322358583293,0.01988135076053843,0.0016528251796019441,0.03722496167858868
index_dip,radial,6626,0.45381829157862963,0.7250978259900703,0.48202880760954475,0.7014187123294243,0.7177169638164904,0.6974656077883299,0.016298251487066095,0.0014843999593367161,0.03210831395833039,0.020251356028160528,0.0040299300678556275,0.037277798689128956
index_dip,spread,6626,0.48339873226682767,0.612726584018835,0.511989517569026,0.6190161520536227,0.6371914877859267,0.6169939644481341,0.01817533573230401,0.0007532817558736918,0.034573186901626723,0.020197523337792567,-0.0008351853348737225,0.04025270584783298
index_dip,curl,6626,0.5495019619680048,0.5826638456403596,0.5251895290790674,0.6175113413814473,0.6231951665311819,0.6182676635029032,0.005683825149734645,-0.009016960681777922,0.020627437894112644,0.0049275030282787124,-0.012584663617640712,0.022690375285189995
index_tip,radial,6626,0.4607606399034108,0.705098901586479,0.48231775071048655,0.6807981101482724,0.6963148202999001,0.6755455375592814,0.0155167101516277,0.0010476432446068914,0.03209715947382498,0.020769282740618733,0.005245520812683603,0.03847703213111202
index_tip,spread,6626,0.49547238152731665,0.5669243628445525,0.5435617762403133,0.5763766041015324,0.5917573730060376,0.5900252654448004,0.015380768904505238,-0.0038527075164817514,0.03427437860023502,0.001732107561237206,-0.021485338535712738,0.023720159072192753
index_tip,curl,6626,0.5504074856625415,0.5914075615498049,0.5169624902882466,0.6265089517491649,0.6242201948692488,0.6214367034831978,-0.002288756879916032,-0.01809119601417323,0.01319975400884893,0.0027834913860510513,-0.01400644409443971,0.01931998378290938
middle_mcp,radial,6626,0.0013582855418050107,0.7521703356673887,0.5597031215891726,0.8512921263412422,0.7810017967188891,0.871274327070005,-0.07029032962235304,-0.14034647024611385,0.013464659944580038,-0.09027253035111582,-0.26855144032272343,0.031389660261760856
middle_mcp,spread,6626,0.5412013281014186,0.5656821484134207,0.5088546100331699,0.5792715457774386,0.5922538673789884,0.5721149682977662,0.012982321601549884,-0.00442658303719648,0.028640474634292888,0.02013889908122224,-0.0027901987105479805,0.04181834277884221
middle_mcp,curl,6626,0.4265016601267733,0.7450121987559132,0.49612088873989646,0.7361429582448691,0.7596312437143815,0.7340016575408798,0.023488285469512427,0.007197475875402667,0.040305596723927396,0.02562958617350175,0.007658598453288437,0.04468297742676026
